id_num,id,state,lastLocationUpdate,lastStateChange,batteryLevel,lat,lng,zoneId,code,licencePlate,isRentable,max_lev,geometry
3,9647eef9-dc45-453d-95e5-f018ba6eb800,ACTIVE,2020-06-10 18:46:59+00:00,2020-06-08 19:52:13+00:00,58.0,49.430471,8.689095,HEIDELBERG,119678,901WSD,1,0.0,POINT (8.689095 49.430471)
4,39f2cefd-8bd6-4ee0-b1b8-471376e7702d,ACTIVE,2020-06-10 18:46:05+00:00,2020-06-08 19:52:13+00:00,65.0,49.420259,8.690032,HEIDELBERG,118150,339WUG,1,0.0,POINT (8.690032 49.420259)
5,024f3bc9-9dc0-45c2-81ee-fa9401c0c5a4,ACTIVE,2020-06-10 18:41:38+00:00,2020-06-09 20:51:31+00:00,59.0,49.430399,8.688567,HEIDELBERG,112575,348WUG,1,0.0,POINT (8.688567000000001 49.430399)
6,919d5e30-3cdc-44bf-a0a9-1d7b29967312,ACTIVE,2020-06-10 18:44:26+00:00,2020-06-08 19:52:13+00:00,72.0,49.428065,8.6799,HEIDELBERG,121328,218WVI,1,0.0,POINT (8.6799 49.428065)
7,b73610db-f858-4f99-b7b6-a316433c84f2,ACTIVE,2020-06-10 18:44:33+00:00,2020-06-09 20:51:31+00:00,61.0,49.415345,8.711199,HEIDELBERG,122103,865WSE,1,0.0,POINT (8.711199000000001 49.415345)
8,ed9cdd72-2213-4056-957f-138661c97725,ACTIVE,2020-06-10 18:45:53+00:00,2020-06-09 20:51:31+00:00,85.0,49.428452,8.680603,HEIDELBERG,117582,819WSE,1,0.0,POINT (8.680603 49.428452)
9,829bcfd4-7c31-47e8-9e31-94b20502d4ae,ACTIVE,2020-06-10 18:44:28+00:00,2020-06-07 19:52:03+00:00,53.0,49.426212,8.680655,HEIDELBERG,123607,632WSD,1,0.0,POINT (8.680655 49.426212)
10,f9a76b11-ff0d-4b36-9bfd-bdf7c0e53403,ACTIVE,2020-06-10 18:42:30+00:00,2020-06-10 04:36:35+00:00,64.0,49.422278,8.674664,HEIDELBERG,117545,544WSD,1,0.0,POINT (8.674664 49.422278)
11,58babcfa-9eaa-4e4b-a9b2-5fcf16e62587,ACTIVE,2020-06-10 18:45:07+00:00,2020-06-08 19:52:13+00:00,29.0,49.420126,8.674852,HEIDELBERG,124619,040WSD,1,0.0,POINT (8.674852 49.420126)
12,9fe97fc1-a5a2-4f29-97f3-47da4d1d65c8,ACTIVE,2020-06-10 18:43:18+00:00,2020-06-06 19:51:54+00:00,40.0,49.431151,8.689337,HEIDELBERG,123971,683WSD,1,0.0,POINT (8.689337 49.431151)
